license_number,ubi,trade_name,licensee_name,address,suite,city,state,county,zip,privilege,status,phone,is_se
414884,6033581390010001,#HASHTAG,,3540 STONE WAY N,,SEATTLE,WA,KING,981038924,CANNABIS RETAILER,CLOSED (PERMANENT),3608184000,
430562,6033581390010004,#HASHTAG,,224 NICKERSON ST,,SEATTLE,WA,KING,98109,CANNABIS RETAILER,ACTIVE (ISSUED),4255418880,
423413,6033491670010006,112TH STREET CANNABIS,,5809 112TH ST E BLDG B,,PUYALLUP,WA,PIERCE,98373,CANNABIS RETAILER,ACTIVE (ISSUED),2067926857,
355469,6043490200010002,2020 CANNABIS SOLUTIONS MT BAKER HIGHWAY,,1706 MT BAKER HWY,,BELLINGHAM,WA,WHATCOM,98226,CANNABIS RETAILER,ACTIVE (ISSUED),3607342020,
415470,6029975740010001,2020 SOLUTIONS,,2018 IRON ST STE A,,BELLINGHAM,WA,WHATCOM,982264212,CANNABIS RETAILER,CLOSED (PERMANENT),3603938697,
420908,6035502700010002,2020 SOLUTIONS,,4770 PACIFIC HWY STE A,,BELLINGHAM,WA,WHATCOM,982260000,CANNABIS RETAILER,CLOSED (PERMANENT),2067908124,
422139,6033451150010005,2020 SOLUTIONS,,4264 PACIFIC HWY,,BELLINGHAM,WA,WHATCOM,982269042,CANNABIS RETAILER,CLOSED (PERMANENT),2063999999,
422239,6035723460010001,2020 SOLUTIONS EPHRATA,,1615 BASIN ST SW,,EPHRATA,WA,GRANT,988232134,CANNABIS RETAILER,ACTIVE (ISSUED),3609154944,
415470,6043490150010001,2020 SOLUTIONS IRON STREET,,2018 IRON ST STE A,,BELLINGHAM,WA,WHATCOM,98226,CANNABIS RETAILER,ACTIVE (ISSUED),2068180966,
413314,6034152650010001,2020 SOLUTIONS ON THE GUIDE,,5655 GUIDE MERIDIAN STE A,,BELLINGHAM,WA,WHATCOM,982269722,CANNABIS RETAILER,CLOSED (PERMANENT),3607342020,
413314,6043490200010001,2020 SOLUTIONS ON THE GUIDE,,5655 GUIDE MERIDIAN STE A,,BELLINGHAM,WA,WHATCOM,982269722,CANNABIS RETAILER,CLOSED (PERMANENT),2068180966,
420908,6043490230010001,2020 SOLUTIONS PACIFIC HIGHWAY,,4770 PACIFIC HWY STE A,,BELLINGHAM,WA,WHATCOM,98226,CANNABIS RETAILER,ACTIVE (ISSUED),3607342020,
422363,6035723460010002,2020 SOLUTIONS SOAP LAKE,,261 STATE HWY 28 WEST,,SOAP LAKE,WA,GRANT,98851,CANNABIS RETAILER,ACTIVE (ISSUED),3609154944,
422701,6036006740010001,2020 SOLUTIONS SPRAGUE,,209 E 4TH ST STE B,,SPRAGUE,WA,LINCOLN,990320000,CANNABIS RETAILER,CLOSED (PERMANENT),2534051918,
364709,6033492700010006,20AFTER4,,1511 N GOERIG ST,,WOODLAND,WA,COWLITZ,98674,CANNABIS RETAILER,ACTIVE (ISSUED),3605629420,
422632,6033492700010003,20AFTER4,,2211 46TH AVE,,LONGVIEW,WA,COWLITZ,986325013,CANNABIS RETAILER,CLOSED (PERMANENT),2068180966,
425128,6033492700010004,20AFTER4,,302 HAZEL ST,,KELSO,WA,COWLITZ,986261410,CANNABIS RETAILER,CLOSED (PERMANENT),2069293060,
422073,6035830060010001,21+ RECREATIONAL MARIJUANA,,3598 BETHEL RD SE,,PORT ORCHARD,WA,KITSAP,983665605,CANNABIS RETAILER,CLOSED (PERMANENT),2064278666,
084154,6033600740010001,25 TREES,,3213 S 38TH STE C,,TACOMA,WA,PIERCE,984041094,CANNABIS RETAILER,CLOSED (PERMANENT),2533768562,
428654,6031183740010004,28 GRAHAMS CANNABIS,,10315 200TH ST E,,GRAHAM,WA,PIERCE,98338,CANNABIS RETAILER,ACTIVE (ISSUED),2537405648,
413310,6034296550010001,365 RECREATIONAL CANNABIS,,17517 15TH AVE NE STE 202,,SHORELINE,WA,KING,981553801,CANNABIS RETAILER,CLOSED (PERMANENT),2065577778,
422099,6035976210010001,365 RECREATIONAL CANNABIS,,36711 U.S. HIGHWAY 12,,DAYTON,WA,COLUMBIA,983288622,CANNABIS RETAILER,CLOSED (PERMANENT),4259194183,
422099,6041520640010001,365 RECREATIONAL CANNABIS,,36711 U.S. HIGHWAY 12,,DAYTON,WA,COLUMBIA,98328,CANNABIS RETAILER,ACTIVE (ISSUED),4259194183,
423784,6034296550010002,365 RECREATIONAL CANNABIS,,17517 15TH AVE NE #B,,SHORELINE,WA,KING,98155,CANNABIS RETAILER,ACTIVE (ISSUED),4259194183,
430369,6042834300010002,395 HERB,,3948B 3RD AVE UNIT 2,,LOON LAKE,WA,STEVENS,99148,CANNABIS RETAILER,ACTIVE (ISSUED),5096440420,
413805,6024843170010006,395 HERB INC,,3948 3RD AVE UNIT 1,,LOON LAKE,WA,STEVENS,981489683,CANNABIS RETAILER,CLOSED (PERMANENT),5096844420,
